CellType,mean_prop,sd_prop
Neutrophils,0.33776201938289435,0.10315660573141473
Monocytes,0.1852829028397097,0.04014686377701972
T cells CD4 memory resting,0.13607489393399524,0.046931748341693766
T cells CD4 naive,0.12289037383204005,0.04978209330871498
NK cells resting,0.08739547346528784,0.031176838856110823
B cells naive,0.05609271585170214,0.03640597895526475
T cells CD8,0.043567913754737383,0.0336949257409044
Mast cells resting,0.014430831891651586,0.012015280691207683
Macrophages M0,0.004486630236774624,0.00882625637790439
Plasma cells,0.003022174125021954,0.00568998796529063
NK cells activated,0.002851291307366057,0.005454120553151724
B cells memory,0.0020750418684373005,0.0055086702444909945
T cells CD4 memory activated,0.001687462695356677,0.004233790602204665
Dendritic cells activated,0.001615792767321911,0.002715592427312073
T cells regulatory (Tregs),6.358255511684507e-4,0.0025117997251585702
Macrophages M2,1.2865649653469863e-4,6.928364373478812e-4
Dendritic cells resting,0,0
Eosinophils,0,0
Macrophages M1,0,0
Mast cells activated,0,0
T cells follicular helper,0,0
T cells gamma delta,0,0
